Keyword;Search Volume;CPC;Competition;Number of Results;Trends
"para de fumar cigarro";"10";"0.00";"0.12";"9930000";"0.29,0.14,0.29,0.71,0.14,0.43,0.14,0.14,0.14,0.57,0.14,1.00"
"quero parar de fumar cigarro";"10";"0.88";"0.45";"15900000";"0.22,1.00,0.33,0.11,0.11,0.22,0.11,0.11,0.11,0.22,0.11,0.11"
"quero parar de fumar o que faço";"10";"0.16";"0.55";"117000000";"0.11,0.33,0.11,1.00,0.11,0.11,0.11,0.78,0.11,0.44,0.44,0.44"
"como deixar de fumar tabaco";"10";"0.00";"0.00";"2950000";"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
"o que fazer para parar de fumar";"480";"0.52";"0.15";"8410000";"0.54,1.00,0.66,1.00,0.81,1.00,0.81,0.81,1.00,1.00,0.81,0.81"
"como fazer para parar de fumar";"390";"0.40";"0.29";"7540000";"0.67,1.00,0.81,0.81,0.67,0.81,0.81,1.00,1.00,1.00,0.81,0.81"
"como parar de fumar gratis";"210";"0.60";"0.43";"122000000";"0.19,0.29,0.29,0.44,0.35,0.54,0.44,1.00,0.67,0.44,0.54,0.44"
"cigarro para parar de fumar";"170";"0.44";"1.00";"1310000";"0.81,1.00,0.52,1.00,0.67,0.81,0.81,0.67,0.81,0.81,1.00,1.00"
"preciso parar de fumar";"140";"0.56";"0.40";"128000000";"0.53,0.82,0.82,0.53,0.82,0.82,0.82,0.65,1.00,0.82,0.65,0.65"
"como parar de fumar dicas";"50";"0.28";"0.18";"853000";"0.11,0.11,0.33,0.11,0.56,0.11,0.56,0.11,1.00,0.11,0.11,0.11"
"vou parar de fumar";"30";"0.04";"0.17";"13900000";"0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25"
"como nao fumar";"20";"0.00";"0.05";"58300000";"0.11,0.11,0.22,0.44,0.11,0.44,0.11,0.11,0.11,0.33,0.11,1.00"
"dicas para parar de fumar cigarro";"20";"0.76";"0.15";"497000";"0.11,0.11,0.11,0.11,0.33,0.11,0.78,0.11,1.00,0.11,0.44,0.11"
"metodos para acabar com o vicio do cigarro";"10";"0.00";"0.57";"5120000";"0.25,0.25,0.00,0.00,0.00,0.25,0.75,0.50,0.50,0.25,1.00,0.25"
"técnicas para parar de fumar";"10";"0.44";"0.25";"16000000";"0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25"
