Projeto;101;;;;
Keyword;Search Volume;CPC;Competition;Number of Results;Trends
"como parar de fumar";"14800";"0.44";"0.32";"1620000";"0.55,0.82,0.67,0.82,0.67,0.82,0.82,0.99,0.99,0.82,0.82,0.82"
"como parar de fumar maconha";"1900";"2.16";"0.06";"474000";"0.79,0.79,0.67,0.79,0.67,0.79,0.79,0.79,0.79,0.79,0.99,0.79"
"como parar de fumar em 5 dias";"1000";"0.88";"0.15";"13800000";"0.68,0.77,0.68,0.99,0.77,0.99,0.99,0.99,0.99,0.68,0.68,0.45"
"como parar de fumar cigarro";"880";"0.80";"0.30";"57000";"0.55,0.37,0.37,0.77,0.55,0.68,0.55,0.68,0.68,0.99,0.99,0.77"
"como parar de fumar naturalmente";"720";"0.68";"0.21";"6270000";"0.32,0.48,0.39,0.88,0.88,0.99,0.88,0.72,0.59,0.59,0.59,0.99"
"como parar de fumar cigarro rapido";"590";"0.84";"0.33";"4240000";"0.16,0.30,0.20,0.25,0.20,0.30,0.55,0.77,0.77,0.99,0.77,0.55"
"como fazer para parar de fumar";"390";"0.40";"0.29";"367000";"0.67,0.99,0.81,0.81,0.67,0.81,0.81,0.99,0.99,0.99,0.81,0.81"
"como parar de fumar definitivamente";"390";"0.60";"0.33";"396000";"0.11,0.32,0.26,0.21,0.17,0.21,0.17,0.32,0.59,0.99,0.59,0.72"
"como parar de fumar cigarro em 5 dias";"390";"0.40";"0.27";"1950000";"0.19,0.82,0.67,0.99,0.67,0.55,0.30,0.44,0.30,0.12,0.08,0.08"
"como fazer alguem parar de fumar";"320";"0.32";"0.18";"557000";"0.67,0.82,0.67,0.99,0.99,0.99,0.99,0.82,0.82,0.82,0.67,0.82"
"como parar de fumar rapido";"260";"0.44";"0.36";"5100000";"0.35,0.35,0.35,0.54,0.23,0.35,0.35,0.67,0.54,0.44,0.99,0.99"
"parei de fumar como limpar o pulmão";"210";"0.64";"0.08";"28000";"0.44,0.53,0.53,0.99,0.66,0.66,0.66,0.81,0.81,0.66,0.53,0.44"
"como faço para parar de fumar";"210";"0.44";"0.33";"2610000";"0.44,0.66,0.53,0.81,0.53,0.81,0.81,0.81,0.81,0.66,0.81,0.99"
"como parar de fumar marihuana";"210";"1.48";"0.07";"616000";"0.81,0.65,0.54,0.81,0.65,0.99,0.65,0.81,0.81,0.81,0.81,0.81"
"como parar de fumar na gravidez";"210";"1.12";"0.04";"7110000";"0.65,0.81,0.81,0.99,0.65,0.81,0.81,0.81,0.81,0.81,0.65,0.81"
"como parar de fumar gratis";"210";"0.60";"0.43";"22900000";"0.19,0.29,0.29,0.44,0.35,0.54,0.44,0.99,0.67,0.44,0.54,0.44"
"como parar de beber e fumar";"140";"1.16";"0.43";"2230000";"0.67,0.81,0.52,0.81,0.33,0.33,0.33,0.99,0.67,0.81,0.81,0.43"
"como fazer uma pessoa parar de fumar";"140";"0.36";"0.12";"386000";"0.82,0.99,0.82,0.82,0.99,0.82,0.65,0.99,0.99,0.82,0.82,0.82"
"como ajudar alguem a parar de fumar";"140";"0.92";"0.07";"375000";"0.41,0.82,0.65,0.65,0.65,0.65,0.65,0.99,0.99,0.82,0.82,0.65"
"como parar de fumar pedra";"110";"0.84";"0.18";"4070000";"0.53,0.65,0.65,0.65,0.65,0.82,0.65,0.82,0.82,0.99,0.65,0.82"
"como conseguir parar de fumar";"110";"0.60";"0.26";"423000";"0.50,0.99,0.64,0.79,0.64,0.99,0.99,0.79,0.99,0.79,0.99,0.79"
"como parar de beber cerveja e fumar";"90";"2.20";"0.27";"320000";"0.20,0.20,0.20,0.80,0.20,0.80,0.20,0.20,0.20,0.99,0.20,0.40"
"como limpar os pulmoes depois de parar de fumar";"90";"0.00";"0.02";"267000";"0.33,0.33,0.33,0.33,0.67,0.99,0.67,0.33,0.67,0.33,0.33,0.33"
"como fazer alguem parar de fumar maconha";"90";"0.00";"0.01";"645000";"0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.99,0.14,0.14,0.14,0.14"
"como preparar fumo de rolo para plantas";"90";"0.00";"0.00";"271000";"0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.67,0.99,0.28,0.99,0.03"
"como parar de fumar maconha definitivamente";"70";"0.00";"0.02";"17000";"0.33,0.33,0.00,0.33,0.00,0.33,0.67,0.99,0.33,0.33,0.67,0.33"
"como parar fumar";"50";"1.08";"0.49";"11400000";"0.80,0.80,0.99,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40"
"como parar de fumar dicas";"50";"0.28";"0.18";"1380000";"0.11,0.11,0.33,0.11,0.56,0.11,0.56,0.11,0.99,0.11,0.11,0.11"
"como fazer uma pessoa parar de fumar maconha";"40";"0.00";"0.09";"203000";"0.99,0.60,0.80,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40"
"parei de fumar com champix";"40";"0.00";"0.00";"22000";"0.11,0.11,0.11,0.11,0.99,0.11,0.44,0.22,0.33,0.11,0.33,0.11"
"livro como parar de fumar";"40";"0.76";"1.00";"370000";"0.14,0.14,0.29,0.14,0.14,0.99,0.14,0.14,0.14,0.14,0.14,0.14"
"como fazer um pipe para fumar";"40";"0.00";"0.01";"5330000";"0.00,0.00,0.20,0.20,0.40,0.20,0.20,0.99,0.20,0.20,0.20,0.20"
"como eu faço para parar de fumar";"40";"0.72";"0.41";"482000";"0.11,0.11,0.33,0.11,0.78,0.11,0.99,0.11,0.44,0.11,0.11,0.11"
"dicas como parar de fumar";"30";"0.44";"0.20";"294000";"0.99,0.50,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.50,0.25"
"como se para de fumar";"30";"0.04";"0.57";"124000000";"0.00,0.20,0.00,0.00,0.99,0.20,0.00,0.00,0.40,0.20,0.80,0.20"
"receita com fumo para plantas";"30";"0.00";"0.01";"310000";"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.25"
"como fazer uma pessoa parar de beber e fumar";"30";"0.40";"0.14";"490000";"0.99,0.43,0.99,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29"
"como eu parei de fumar";"30";"0.00";"0.04";"511000";"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.99,0.20,0.20,0.20,0.20"
"como plantar erva para fumar";"30";"0.00";"0.04";"215000";"0.50,0.50,0.75,0.75,0.25,0.99,0.75,0.75,0.75,0.99,0.75,0.75"
"como conseguir parar de fumar maconha";"30";"0.00";"0.07";"883000";"0.29,0.14,0.29,0.99,0.14,0.42,0.14,0.14,0.14,0.29,0.14,0.71"
"como fazer para parar de fumar maconha";"30";"1.88";"0.20";"444000";"0.43,0.99,0.29,0.14,0.14,0.29,0.14,0.14,0.14,0.29,0.14,0.14"
"como ajudar a parar de fumar maconha";"30";"0.00";"0.00";"268000";"0.22,0.99,0.33,0.00,0.11,0.22,0.00,0.11,0.11,0.22,0.11,0.00"
"como parar de fumar narguile";"30";"0.00";"0.06";"863000";"0.29,0.14,0.29,0.71,0.14,0.42,0.14,0.14,0.14,0.57,0.14,0.99"
"remedio para pulgão em plantas com fumo";"30";"0.00";"0.19";"11000";"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.99"
"como o corpo reage quando paramos de fumar";"20";"0.00";"0.05";"13000";"0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.50,0.50,0.25,0.99,0.25"
"como parar de mascar fumo";"20";"1.28";"0.05";"77000";"0.99,0.99,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.25,0.25"
